Version,Commit Message
v4.6.0,coding: utf-8
v4.6.0,"now that the relevant information has been pulled out of params, it's safe to overwrite it"
v4.6.0,with the content that should be used for training (i.e. with aliases resolved)
v4.6.0,"if there were not multiple boosting rounds configurations provided in params,"
v4.6.0,then by definition they cannot have conflicting values... no need to warn
v4.6.0,"if all the aliases have the same value, no need to warn"
v4.6.0,"if this line is reached, lightgbm should warn"
v4.6.0,create predictor first
v4.6.0,setting early stopping via global params should be possible
v4.6.0,reduce cost for prediction training data
v4.6.0,process callbacks
v4.6.0,construct booster
v4.6.0,start training
v4.6.0,check evaluation result.
v4.6.0,"ranking task, split according to groups"
v4.6.0,run preprocessing on the data set if needed
v4.6.0,"build up 2 maps, of the form:"
v4.6.0,
v4.6.0,OrderedDict{
v4.6.0,"(<dataset_name>, <metric_name>): <is_higher_better>"
v4.6.0,}
v4.6.0,
v4.6.0,OrderedDict{
v4.6.0,"(<dataset_name>, <metric_name>): list[<metric_value>]"
v4.6.0,}
v4.6.0,
v4.6.0,turn that into a list of tuples of the form:
v4.6.0,
v4.6.0,[
v4.6.0,"(<dataset_name>, <metric_name>, mean(<values>), <is_higher_better>, std_dev(<values>))"
v4.6.0,]
v4.6.0,setting early stopping via global params should be possible
v4.6.0,setup callbacks
v4.6.0,coding: utf-8
v4.6.0,"scikit-learn is intentionally imported first here,"
v4.6.0,see https://github.com/microsoft/LightGBM/issues/6509
v4.6.0,dummy function to support older version of scikit-learn
v4.6.0,"validate_data() was added in scikit-learn 1.6, this function roughly imitates it for older versions."
v4.6.0,It can be removed when lightgbm's minimum scikit-learn version is at least 1.6.
v4.6.0,'force_all_finite' was renamed to 'ensure_all_finite' in scikit-learn 1.6
v4.6.0,"trap other keyword arguments that only work on scikit-learn >=1.6, like 'reset'"
v4.6.0,it's safe to import _num_features unconditionally because:
v4.6.0,
v4.6.0,* it was first added in scikit-learn 0.24.2
v4.6.0,* lightgbm cannot be used with scikit-learn versions older than that
v4.6.0,* this validate_data() re-implementation will not be called in scikit-learn>=1.6
v4.6.0,
v4.6.0,_num_features() raises a TypeError on 1-dimensional input. That's a problem
v4.6.0,because scikit-learn's 'check_fit1d' estimator check sets that expectation that
v4.6.0,estimators must raise a ValueError when a 1-dimensional input is passed to fit().
v4.6.0,
v4.6.0,"So here, lightgbm avoids calling _num_features() on 1-dimensional inputs."
v4.6.0,"NOTE: check_X_y() calls check_array() internally, so only need to call one or the other of them here"
v4.6.0,this only needs to be updated at fit() time
v4.6.0,raise the same error that scikit-learn's `validate_data()` does on scikit-learn>=1.6
v4.6.0,additional scikit-learn imports only for type hints
v4.6.0,sklearn.utils.Tags can be imported unconditionally once
v4.6.0,lightgbm's minimum scikit-learn version is 1.6 or higher
v4.6.0,catching 'ValueError' here because of this:
v4.6.0,https://github.com/microsoft/LightGBM/issues/6365#issuecomment-2002330003
v4.6.0,
v4.6.0,"That's potentially risky as dask does some significant import-time processing,"
v4.6.0,"like loading configuration from environment variables and files, and catching"
v4.6.0,ValueError here might hide issues with that config-loading.
v4.6.0,
v4.6.0,"But in exchange, it's less likely that 'import lightgbm' will fail for"
v4.6.0,"dask-related reasons, which is beneficial for any workloads that are using"
v4.6.0,lightgbm but not its Dask functionality.
v4.6.0,coding: utf-8
v4.6.0,"f(labels, preds)"
v4.6.0,"f(labels, preds, weights)"
v4.6.0,"f(labels, preds, weights, group)"
v4.6.0,"f(labels, preds)"
v4.6.0,"f(labels, preds, weights)"
v4.6.0,"f(labels, preds, weights, group)"
v4.6.0,documentation templates for LGBMModel methods are shared between the classes in
v4.6.0,this module and those in the ``dask`` module
v4.6.0,"It's possible, for example, to pass 3 eval sets through `eval_set`,"
v4.6.0,but only 1 init_score through `eval_init_score`.
v4.6.0,
v4.6.0,This if-else accounts for that possibility.
v4.6.0,scikit-learn 1.6 introduced an __sklearn__tags() method intended to replace _more_tags().
v4.6.0,_more_tags() can be removed whenever lightgbm's minimum supported scikit-learn version
v4.6.0,is >=1.6.
v4.6.0,ref: https://github.com/microsoft/LightGBM/pull/6651
v4.6.0,"""check_sample_weight_equivalence"" can be removed when lightgbm's"
v4.6.0,minimum supported scikit-learn version is at least 1.6
v4.6.0,ref: https://github.com/scikit-learn/scikit-learn/pull/30137
v4.6.0,"_LGBMModelBase.__sklearn_tags__() cannot be called unconditionally,"
v4.6.0,because that method isn't defined for scikit-learn<1.6
v4.6.0,"take whatever tags are provided by BaseEstimator, then modify"
v4.6.0,them with LightGBM-specific values
v4.6.0,Based on: https://github.com/dmlc/xgboost/blob/bd92b1c9c0db3e75ec3dfa513e1435d518bb535d/python-package/xgboost/sklearn.py#L941
v4.6.0,which was based on: https://stackoverflow.com/questions/59248211
