Commit Message,predict
mmap seems to be much more memory efficient,0
Remove quotes from etag,0
"If there is an etag, it's everything after the first period",0
"Otherwise, use None",0
"URL, so get it from the cache (downloading if necessary)",0
"File, and it exists.",0
"File, but it doesn't exist.",0
Something unknown,0
Extract all the contents of zip file in current directory,0
use model name as subfolder,0
Lazy import,0
output information,0
Extract all the contents of zip file in current directory,0
TODO(joelgrus): do we want to do checksums or anything like that?,1
get cache path to put the file,0
make HEAD request to check ETag,0
add ETag to filename if it exists,0
"etag = response.headers.get(""ETag"")",0
"Download to temporary file, then copy to cache dir once finished.",0
Otherwise you get corrupt cache entries if the download gets interrupted.,0
GET file object,0
These defaults are the same as the argument defaults in tqdm.,0
load_big_file is a workaround byhttps://github.com/highway11git,1
to load models on some Mac/Windows setups,0
see https://github.com/zalandoresearch/flair/issues/351,0
first determine the distribution of classes in the dataset,0
weight for each sample,0
Create blocks,0
shuffle the blocks,0
concatenate the shuffled blocks,0
Create blocks,0
shuffle the blocks,0
concatenate the shuffled blocks,0
Build the regular expression pattern dynamically based on the provided symbols,0
This will match any character from the symbols list that doesn't have spaces around it,0
"Add space before and after symbols, where necessary",0
Ensure that we are adding a space only if there isn't one already,0
increment for last token in sentence if not followed by whitespace,0
this is the default init size of a lmdb database for embeddings,0
get db filename from embedding name,0
"In case initialization of cached version failed, just fallback to the original WordEmbeddings",0
SequenceTagger,0
TextClassifier,0
get db filename from embedding name,0
if embedding database already exists,0
"otherwise, push embedding to database",0
if embedding database already exists,0
open the database in read mode,0
we need to set self.k,0
create and load the database in write mode,0
"no idea why, but we need to close and reopen the environment to avoid",0
mdb_txn_begin: MDB_BAD_RSLOT: Invalid reuse of reader locktable slot,0
when opening new transaction !,0
init dictionaries,0
"in order to deal with unknown tokens, add <unk>",0
set 'add_unk' if the dictionary was created with a version of Flair older than 0.9,0
set 'add_unk' depending on whether <unk> is a key,0
"if one embedding name, directly return it",0
"if multiple embedding names, concatenate them",0
First we remove any existing labels for this PartOfSentence in self.sentence,0
labels also need to be deleted at Sentence object,0
delete labels at object itself,0
The Token is a special _PartOfSentence in that it may be initialized without a Sentence.,0
"therefore, labels get added only to the Sentence if it exists",0
The Token is a special _PartOfSentence in that it may be initialized without a Sentence.,0
"Therefore, labels get set only to the Sentence if it exists",0
"check if the span already exists. If so, return it",0
else make a new span,0
"check if the relation already exists. If so, return it",0
else make a new relation,0
private field for all known spans,0
the tokenizer used for this sentence,0
some sentences represent a document boundary (but most do not),0
internal variables to denote position inside dataset,0
"if text is passed, instantiate sentence with tokens (words)",0
determine token positions and whitespace_after flag,0
the last token has no whitespace after,0
log a warning if the dataset is empty,0
data with zero-width characters cannot be handled,0
set token idx and sentence,0
append token to sentence,0
register token annotations on sentence,0
move sentence embeddings to device,0
also move token embeddings to device,0
clear token embeddings,0
infer whitespace after field,0
"if sentence has no tokens, return empty string",0
"otherwise, return concatenation of tokens with the correct offsets",0
The sentence's start position is not propagated to its tokens.,0
"Therefore, we need to add the sentence's start position to its last token's end position, including whitespaces.",0
No character at the corresponding code point: remove it,0
"if no label if specified, return all labels",0
"if the label type exists in the Sentence, return it",0
return empty list if none of the above,0
labels also need to be deleted at all tokens,0
labels also need to be deleted at all known spans,0
remove spans without labels,0
delete labels at object itself,0
