Commit Message,predict
set basic configuration keys,0
use local deploy mode and dummy data spliter,0
get a angel client,0
add matrix,0
TODO Auto-generated constructor stub,1
row 0 is a random uniform,0
row 1 is a random normal,0
row 2 is filled with 1.0,0
todo:implements,1
todo: implements,1
import jdk.nashorn.internal.runtime.regexp.joni.Config;,0
"paras[1] = ""abc"";",0
"paras[2] = ""123"";",0
Add standard Hadoop classes,0
Feature number of train data,0
Total iteration number,0
Learning rate,0
Regularization coefficient,0
Set local deploy mode,0
Set basic configuration keys,0
"set angel resource parameters #worker, #task, #PS",0
set sgd LR algorithm parameters #feature #epoch,0
Set input data path,0
Set save model path,0
Set actionType train,0
QSLRRunner runner = new QSLRRunner();,0
runner.train(conf);,0
"conf.setInt(AngelConf.ANGEL_STALENESS, -1);",0
Dataset,0
Data format,0
Feature number of train data,0
Tree number,0
Tree depth,0
Split number,0
Feature sample ratio,0
Ratio of validation,0
Learning rate,0
Set file system,0
Use local deploy mode and data format,0
Set data path,0
"Set angel resource, #worker, #task, #PS",0
Set GBDT algorithm parameters,0
Dataset,0
Set file system,0
Set basic configuration keys,0
Use local deploy mode,0
Set data path,0
"Set angel resource parameters #worker, #task, #PS",0
Set DeepFM algorithm parameters,0
Set model class,0
Dataset,0
"Data format, libsvm or dummy",0
Model type,0
Feature number of train data,0
Total iteration number,0
Validation sample Ratio,0
Learning rate,0
Decay of learning rate,0
Regularization coefficient,0
Set file system,0
Set basic configuration keys,0
Use local deploy mode and data format,0
Set data path,0
"Set angel resource parameters #worker, #task, #PS",0
Set LR algorithm parameters,0
Set model class,0
Dataset,0
Data format,0
Model type,0
Cluster center number,0
Feature number of train data,0
Total iteration number,0
Sample ratio per mini-batch,0
C,0
Set file system,0
Use local deploy mode and data format,0
Set data path,0
"Set angel resource, #worker, #task, #PS",0
set Kmeans algorithm parameters #cluster #feature #epoch,0
Dataset,0
"Data format, libsvm or dummy",0
Model type,0
Feature number of train data,0
Total iteration number,0
Validation sample Ratio,0
Learning rate,0
Decay of learning rate,0
Regularization coefficient,0
Set file system,0
Set basic configuration keys,0
Use local deploy mode and data format,0
Set data path,0
"Set angel resource parameters #worker, #task, #PS",0
Set FM algorithm parameters,0
Set model class,0
Dataset,0
Set file system,0
Set basic configuration keys,0
Use local deploy mode,0
Set data path,0
"Set angel resource parameters #worker, #task, #PS",0
Set WideAndDeep algorithm parameters,0
Set model class,0
Dataset,0
Data format,0
"Set LDA parameters #V, #K",0
Set file system,0
Use local deploy mode and data format,0
Set data path,0
"Set angel resource, #worker, #task, #PS",0
Set LDA algorithm parameters,0
Dataset,0
"Data format, libsvm or dummy",0
Model type,0
Feature number of train data,0
Total iteration number,0
Validation sample Ratio,0
Learning rate,0
Decay of learning rate,0
Regularization coefficient,0
Set file system,0
Set basic configuration keys,0
Use local deploy mode and data format,0
Set data path,0
"Set angel resource parameters #worker, #task, #PS",0
Set SVM algorithm parameters,0
Set model class,0
Dataset,0
"Data format, libsvm or dummy",0
Model type,0
Feature number of train data,0
Total iteration number,0
Validation sample Ratio,0
Model is classification,0
Train batch number per epoch.,0
Learning rate,0
Decay of learning rate,0
Regularization coefficient,0
Set file system,0
Set basic configuration keys,0
Use local deploy mode and data format,0
Set data path,0
"Set angel resource parameters #worker, #task, #PS",0
Set LR algorithm parameters,0
Set model class,0
Load model meta,0
Convert model,0
"Get input path, output path",0
Init serde,0
"Parse need convert model names, if not set, we will convert all models in input directory",0
Load model meta,0
Convert model,0
load hadoop configuration,0
"Get input path, output path",0
Init serde,0
"Parse need convert model names, if not set, we will convert all models in input directory",0
Load model meta,0
Check row type,0
Load model,0
Load model meta,0
Check row type,0
Load model,0
Load model meta,0
Check row type,0
Load model,0
Load model meta,0
Check row type,0
Load model,0
Load model meta,0
Check row type,0
Load model,0
Load model meta,0
Check row type,0
Load model,0
Load model meta,0
Check row type,0
Load model,0
Load model,0
load hadoop configuration,0
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add dense double matrix,0
add sparse double matrix,0
Start PS,0
Start to run application,0
mMatrix.setNnz(100000000);,0
mMatrix.setNnz(100000000);,0
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add matrix,0
worker register,0
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add matrix,0
add matrix,0
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add matrix,0
attempt 0,0
attempt1,0
attempt1,0
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add matrix,0
TODO Auto-generated constructor stub,1
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add matrix,0
set basic configuration keys,0
"conf.set(AngelConf.ANGEL_TASK_USER_TASKCLASS, DummyTask.class.getName());",0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add matrix,0
Thread.sleep(5000);,0
"response = master.getJobReport(null, request);",0
"assertEquals(response.getJobReport().getJobState(), JobStateProto.J_FAILED);",0
"assertEquals(response.getJobReport().getCurIteration(), jobIteration);",0
"assertEquals(response.getJobReport().getDiagnostics(), ""failed"");",0
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add dense double matrix,0
add comp dense double matrix,0
add sparse double matrix,0
add component sparse double matrix,0
add dense float matrix,0
add comp dense float matrix,0
add sparse float matrix,0
add component sparse float matrix,0
add dense float matrix,0
add comp dense float matrix,0
add sparse float matrix,0
add component sparse float matrix,0
add dense long matrix,0
add comp dense long matrix,0
add sparse long matrix,0
add component sparse long matrix,0
add comp dense long double matrix,0
add sparse long-key double matrix,0
add component long-key sparse double matrix,0
add component long-key sparse float matrix,0
add sparse long-key float matrix,0
add component long-key sparse float matrix,0
add component long-key sparse int matrix,0
add sparse long-key int matrix,0
add component long-key sparse int matrix,0
add component long-key sparse long matrix,0
add sparse long-key long matrix,0
add component long-key sparse long matrix,0
Start PS,0
Start to run application,0
set basic configuration keys,0
use local deploy mode and dummy dataspliter,0
get a angel client,0
add dense double matrix,0
add comp dense double matrix,0
add sparse double matrix,0
add component sparse double matrix,0
add dense float matrix,0
add comp dense float matrix,0
add sparse float matrix,0
add component sparse float matrix,0
add dense float matrix,0
add comp dense float matrix,0
add sparse float matrix,0
add component sparse float matrix,0
add dense long matrix,0
add comp dense long matrix,0
add sparse long matrix,0
add component sparse long matrix,0
add comp dense long double matrix,0
add sparse long-key double matrix,0
add component long-key sparse double matrix,0
add component long-key sparse float matrix,0
add sparse long-key float matrix,0
add component long-key sparse float matrix,0
add component long-key sparse int matrix,0
add sparse long-key int matrix,0
add component long-key sparse int matrix,0
add component long-key sparse long matrix,0
add sparse long-key long matrix,0
add component long-key sparse long matrix,0
Start PS,0
Start to run application,0
"System.out.println(""id="" + id + "", value="" + row.get(id));",0
Assert.assertTrue(index.length == row.size());,0
