Commit Message,predict
from Cython.Distutils import build_ext,0
"Import numpy here, only when headers are needed",0
Add numpy headers to include_dirs,0
Call original build_ext command,0
The dependencies are the same as the contents of requirements.txt,0
"A little ""fancy"" we select from the flattened array reshape back",0
(Fortran format to get indexing right) and take the product to do an and,0
then convert back to boolean type.,0
Density sparseness is not well defined if there are no,0
internal edges (as per the referenced paper). However,0
MATLAB code from the original authors simply selects the,0
largest of *all* the edges in the case that there are,0
"no internal edges, so we do the same here",0
"If there are any internal edges, then subselect them out",0
If there are no internal edges then we want to take the,0
"max over all the edges that exist in the MST, so we simply",0
do nothing and return all the edges in the MST.,0
-*- coding: utf-8 -*-,0
Author: Leland McInnes <leland.mcinnes@gmail.com>,0
Steve Astels <sastels@gmail.com>,0
John Healy <jchealy@gmail.com>,0
,0
License: BSD 3 clause,0
"Treating this case explicitly, instead of letting",0
"sklearn.metrics.pairwise_distances handle it,",0
enables the usage of numpy.inf in the distance,0
matrix to indicate missing distance information.,0
TODO: Check if copying is necessary,1
raise TypeError('Sparse distance matrices not yet supported'),0
Warn if the MST couldn't be constructed around the missing distances,0
mst_linkage_core does not generate a full minimal spanning tree,0
If a tree is required then we must build the edges from the information,0
returned by mst_linkage_core (i.e. just the order of points to be merged),0
Sort edges of the min_spanning_tree by weight,0
Convert edge list into standard hierarchical clustering format,0
Check for connected component on X,0
Compute sparse mutual reachability graph,0
"if max_dist > 0, max distance to use when the reachability is infinite",0
Check connected component on mutual reachability,0
"If more than one component, it means that even if the distance matrix X",0
"has one component, there exists with less than `min_samples` neighbors",0
Compute the minimum spanning tree for the sparse graph,0
Convert the graph to scipy cluster array format,0
Sort edges of the min_spanning_tree by weight,0
Convert edge list into standard hierarchical clustering format,0
The Cython routines used require contiguous arrays,0
TO DO: Deal with p for minkowski appropriately,0
Get distance to kth nearest neighbour,0
Mutual reachability distance is implicit in mst_linkage_core_vector,0
Sort edges of the min_spanning_tree by weight,0
Convert edge list into standard hierarchical clustering format,0
The Cython routines used require contiguous arrays,0
Get distance to kth nearest neighbour,0
Mutual reachability distance is implicit in mst_linkage_core_vector,0
Sort edges of the min_spanning_tree by weight,0
Convert edge list into standard hierarchical clustering format,0
Sort edges of the min_spanning_tree by weight,0
Convert edge list into standard hierarchical clustering format,0
Sort edges of the min_spanning_tree by weight,0
Convert edge list into standard hierarchical clustering format,0
Checks input and converts to an nd-array where possible,0
"Only non-sparse, precomputed distance matrices are handled here",0
and thereby allowed to contain numpy.inf for missing distances,0
Python 2 and 3 compliant string_type checking,0
We can't do much with sparse matrices ...,0
TO DO: Need heuristic to decide when to go to boruvka;,0
still debugging for now,0
TO DO: Need heuristic to decide when to go to boruvka;,0
still debugging for now,0
Inherits from sklearn,0
Non-precomputed matrices may contain non-finite values.,0
Rows with these values,0
Pass only the purely finite indices into hdbscan,0
We will later assign all non-finite points to the background -1 cluster,0
Handle sparse precomputed distance matrices separately,0
"Only non-sparse, precomputed distance matrices are allowed",0
to have numpy.inf values indicating missing distances,0
"prediction data only applies to the persistent model, so remove",0
it from the keyword args we pass on the the function,0
remap indices to align with original data in the case of non-finite entries.,0
"Unltimately, for each Ci, we only require the",0
"minimum of DSPC(Ci, Cj) over all Cj != Ci.",0
"So let's call this value DSPC_wrt(Ci), i.e.",0
density separation 'with respect to' Ci.,0
If exactly one of the points is noise,0
Set the density sparseness of the cluster,0
to the sparsest value seen so far.,0
Check whether density separations with,0
respect to each of these clusters can,0
be reduced.,0
"In case min_outlier_sep is still np.inf, we assign a new value to it.",0
This only makes sense if num_clusters = 1 since it has turned out,0
that the MR-MST has no edges between a noise point and a core point.,0
DSPC_wrt[Ci] might be infinite if the connected component for Ci is,0
"an ""island"" in the MR-MST. Whereas for other clusters Cj and Ck, the",0
MR-MST might contain an edge with one point in Cj and ther other one,0
"in Ck. Here, we replace the infinite density separation of Ci by",0
another large enough value.,0
,0
TODO: Think of a better yet efficient way to handle this.,1
Extract flat clustering from HDBSCAN's hierarchy for 7 clusters,0
Use a previously initialized/trained HDBSCAN,0
Handle the trivial case first.,0
Always generate prediction_data to avoid later woes,0
This will later be chosen according to n_clusters,0
Initialize and train clusterer if one was not previously supplied.,0
Always generate prediction data,0
We do not pass cluster_selection_epsilon here.,0
"While this adds unnecessary computation, it makes the code",0
easier to read and debug.,0
"Train on 'X'. Do this even if the supplied clusterer was trained,",0
because we want to make sure it fits 'X'.,0
"Pick an epsilon value right after a split produces n_clusters,",0
and the don't split further for smaller epsilon (larger lambda),0
Or use the specified cluster_selection_epsilon,0
"Extract tree related stuff, in order to re-assign labels",0
Get labels according to the required cluster_selection_epsilon,0
Reflect the related changes in HDBSCAN.,0
PredictionData attached to HDBSCAN should also change.,0
A function re_init is defined in this module to handle this.,0
"From a fitted HDBSCAN model, predict for n_clusters=5",0
Store prediciton data for later use.,0
and use this prediction data to predict on new points,0
Get number of fitted clusters for later use.,0
We'll need the condensed tree later...,0
"If none of the three arguments: prediction_data, n_clusters,",0
"and cluster_selection_epsilon are supplied,",0
then use clusterer's prediciton data directly,0
"If either of n_clusters or cluster_selection_epsilon were supplied,",0
then build prediction data from these by modifying clusterer's,0
Get prediction data from clusterer,0
Modify prediction_data to reflect new n_clusters,0
"First, make a copy of prediction data to avoid modifying source",0
Cluster selection method is hold by condensed_tree.,0
Change from 'eom' to 'leaf' if n_clusters is too large.,0
This change does not affect the tree associated with 'clusterer',0
Re-initialize prediction_data for the specified n_clusters or epsilon,0
============================================================,0
Now we're ready to use prediction_data,0
"The rest of the code is copied from HDBSCAN's approximate_predict,",0
but modified to use prediction_data instead of clusterer's attribute,0
Extract condensed tree for later use,0
Choose flat clustering based on cluster_selection_epsilon or n_clusters.,0
"If neither is specified, use clusterer's cluster_selection_epsilon",0
Use the same prediction_data as clusterer's,0
Compute cluster_selection_epsilon so that a flat clustering,0
produces a specified number of n_clusters,0
"With method 'eom', we may fail to get 'n_clusters' clusters. So,",0
Create another instance of prediction_data that is consistent,0
with the selected value of epsilon.,0
Flat clustering from prediction data,0
Initialize probabilities,0
k-NN for prediciton points to training set,0
Loop over prediction points to compute probabilities,0
We need to find where in the tree the new point would go,0
for the purposes of outlier membership approximation,0
"Find row in tree where nearest neighbor drops out,",0
so we can get a lambda value for the nearest neighbor,0
"Assign lambda as min(lambda-to-neighbor, neighbor's-lambda-to-tree)",0
"Equivalently, this assigns core distance for prediction point as",0
"max(dist-to-neighbor, neighbor's-dist-to-tree)",0
Probabilities based on distance to closest exemplar in each cluster:,0
Use new prediction_data that points to exemplars that are specific,0
to the choice of n_clusters,0
Probabilities based on how long the nearest exemplar persists in,0
each cluster (with respect to most persistent exemplar),0
Use new clusters that are defined by the choice of n_clusters.,0
Merge the two probabilities to produce a single set of probabilities,0
