Commit Message,predict
!/usr/bin/env python3,0
-*- coding: utf-8 -*-,0
https://www.python.org/dev/peps/pep-0440/#compatible-release,0
!/usr/bin/env python3,0
-*- coding: utf-8 -*-,0
def install(package):,0
"subprocess.check_call([sys.executable, ""-m"", ""pip"", ""install"", package])",0
"install(""tensorflow==1.13.1"")",0
For testing a color video:,0
videoname='baby4hin2min',0
"video=[os.path.join('/home/alex/Desktop/Data',videoname+'.mp4')]",0
to test destination folder:,0
dfolder=basepath,0
"As this next step is manual, we update the labels by putting them on the diagonal (fixed for all frames)",0
quicker variant,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
@click.version_option(),0
##########################################################################################################################,0
"type=click.Path(exists=True, file_okay=False, resolve_path=True), default=Path.cwd(),",0
help='Directory to create project in. Default is cwd().'),0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
for video in videos:,0
"predict.predict_video(config, video,**kwargs)",0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
##########################################################################################################################,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
if module is executed directly (i.e. `python -m deeplabcut.__init__`) launch straight into the GUI,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
Suppress tensorflow warning messages,0
"Train, evaluate & predict functions / all require TF",0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
"with open(saveasfile, ""w"") as f:",0
"yaml.dump(dict_test, f)",0
TBD: 'partaffinityfield_graph' >> use to set skeleton!,0
Create the model directory,0
Download the weights and put then in appropriate directory,0
Updating config file:,0
downloading base encoder / not required unless on re-trains (but when a training set is created this happens anyway),0
"model_path = auxfun_models.check_for_weights(pose_cfg['net_type'], parent_path)",0
Updating training and test pose_cfg:,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
Read the config file,0
deal with user passing a single video to add,0
creates the symlinks of the video and puts it in the videos directory.,0
adds the video list to the config.yaml file,0
For windows os.path.realpath does not work and does not link to the real video.,0
video_path = os.path.realpath(video),0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
Create project and sub-directories,0
"Add all videos in the folder. Multiple folders can be passed in a list, similar to the video files. Folders and video files can also be passed!",0
Check if it is a folder,0
creates the symlinks of the video and puts it in the videos directory.,0
adds the video list to the config.yaml file,0
For windows os.path.realpath does not work and does not link to the real video. [old: rel_video_path = os.path.realpath(video)],0
Silently sweep the files that were already written.,0
Set values to config file:,0
common parameters:,0
Write dictionary to yaml  config file,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
Create project and sub-directories,0
Create config file,0
"cfg_file_3d['config_files']= [str('Enter the path of the config file ')+str(i)+ ' to include' for i in range(1,3)]",0
cfg_file_3d['config_files']= ['Enter the path of the config file 1'],0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
https://github.com/DeepLabCut/DeepLabCut,0
,0
Please see AUTHORS for contributors.,0
https://github.com/DeepLabCut/DeepLabCut/blob/master/AUTHORS,0
,0
Licensed under GNU Lesser General Public License v3.0,0
,0
,0
DeepLabCut Toolbox (deeplabcut.org),0
© A. & M.W. Mathis Labs,0
